recipe_id,recipe_name,calories,protein,fat,carbs,protein_proportion,fat_proportion,carbs_proportion,quality_list,vegan,vegetarian,gluten_free,sugar_free,pork_free,alcohol_free,dairy_free,nut_free,fish_free,shellfish_free,kosher,pescatarian,inactive_time_in_minutes,active_time_in_minutes,protein_g_per_unit,fat_g_per_unit,carbs_g_per_unit
42,martinez,221.1991634588602000,1.5354583306479960,0.2901750000648201,22.0779464883337120,0.06423549703733217000,0.01213939511409946800,0.92362510784856840000,"vegan vegetarian   pork_free  dairy_free nut_free fish_free shellfish_free kosher ",1,1,0,0,1,0,1,1,1,1,1,1,0,1,1.53545833064799600000,0.29017500006482005000,22.07794648833371200000
43,martini,223.3968608912538200,1.4973307979901473,0.2901923999704420,19.4695874599274460,0.07043905552773333000,0.01365154487083399500,0.91590939960143270000,"vegan vegetarian   pork_free  dairy_free nut_free fish_free shellfish_free kosher ",1,1,0,0,1,0,1,1,1,1,1,1,0,1,1.49733079799014730000,0.29019239997044205000,19.46958745992744600000
44,manhattan,180.5277248609076800,0.0580615979802947,0.0043847999408841,4.3449050567548950,0.01317380712143866200,0.00099488320502145700,0.98583130967353980000,"vegan vegetarian gluten_free  pork_free  dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,0,1,1,1,1,1,1,0,1,0.05806159798029470600,0.00438479994088411400,4.34490505675489500000
45,grenadine,1594.0599977960000000,0.7470000000000000,1.5007999992399998,407.6245794320520300,0.00182251851426651580,0.00366162755666140940,0.99451585392907220000,"vegan vegetarian gluten_free  pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,1,1,1,1,1,1,1,0,12,0.37350000000000000000,0.75039999961999990000,203.81228971602602000000
46,jack%20rose,212.6613624250538200,0.0750183021951474,0.0531324014824421,15.9014901402974500,0.00467997398852164800,0.00331463455729344050,0.99200539145418500000,"vegan vegetarian gluten_free  pork_free  dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,0,1,1,1,1,1,1,0,1,0.07501830219514737000,0.05313240148244205400,15.90149014029745000000
47,brooklyn,208.8539968704000000,0.0778249975800000,0.0212250002400000,7.5822773865150000,0.01013171209688487800,0.00276319432540857950,0.98710509357770660000,"vegan vegetarian gluten_free  pork_free  dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,0,1,1,1,1,1,1,0,1,0.07782499758000000000,0.02122500024000000000,7.58227738651500000000
48,daiquiri,206.2772488676776000,1.1055450009449999,0.1842575001575000,24.6577950932794430,0.04260683467606911000,0.00710113911267818600,0.95029202621125270000,"vegan vegetarian gluten_free  pork_free  dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,0,1,1,1,1,1,1,0,2,1.10554500094499990000,0.18425750015750000000,24.65779509327944300000
49,margarita,302.3322469778500000,2.1785449989450000,0.3536575001575000,46.4142148820450000,0.04450877337927702000,0.00722540114434844800,0.94826582547637450000,"vegan vegetarian gluten_free  pork_free  dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,0,1,1,1,1,1,1,0,2,2.17854499894500000000,0.35365750015749997000,46.41421488204500000000
50,sidecar,225.8154970602000200,1.5708875002050000,0.3389400015120000,20.6987949065700000,0.06948178760459127000,0.01499162555732561400,0.91552658683808310000,"vegan vegetarian gluten_free  pork_free  dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,0,1,1,1,1,1,1,0,2,1.57088750020500000000,0.33894000151200000000,20.69879490657000000000
51,french%2075,202.8339995746951800,0.1386700031864000,0.0679200020160000,8.4128002157808850,0.01608814540601930700,0.00787990800679306000,0.97603194658718760000,"vegan vegetarian gluten_free  pork_free  dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,0,1,1,1,1,1,1,0,1,0.13867000318640000000,0.06792000201600000000,8.41280021578088500000
52,bloody%20mary,156.3187528646386000,1.1579061780953230,0.4066558462798016,5.3302357613641590,0.16793910627665615000,0.05898009759196999600,0.77308079613137380000,"   sugar_free pork_free  dairy_free nut_free  shellfish_free kosher ",0,0,0,1,1,0,1,1,0,1,1,1,0,2,1.15790617809532300000,0.40665584627980160000,5.33023576136415900000
56,falafel,1755.5260002400876000,81.0040516729900200,15.6410033424261240,347.3600884011235600,0.18243944439399600000,0.03522707692544149000,0.78233347868056260000,"vegan vegetarian  sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,0,1,1,1,1,1,1,1,1,1,850,21,4.05020258364950100000,0.78205016712130630000,17.36800442005617700000
57,pita%20bread,1227.0850008717177000,32.8735001084685340,16.9583000204116100,232.1646001105606600,0.11657418350218626000,0.06013658332522138000,0.82328923317259240000,"vegan vegetarian   pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,0,0,1,1,1,1,1,1,1,1,30,19,5.47891668474475600000,2.82638333673526840000,38.69410001842677400000
59,white%20gazpacho,9455.6867611447100000,254.8897976482828000,435.2992063332594000,1163.3056534620214000,0.13751849600680270000,0.23485322959260468000,0.62762827440059270000,"vegan vegetarian  sugar_free pork_free  dairy_free  fish_free shellfish_free kosher ",1,1,0,1,1,0,1,0,1,1,1,1,185,13,42.48163294138047000000,72.54986772220990000000,193.88427557700356000000
60,vanilla%20ice%20cream,3406.6690149118654000,47.8314006979949700,163.0104011679149800,321.5657935239666000,0.08983981654688554000,0.30617594974118310000,0.60398423371193140000," vegetarian gluten_free  pork_free   nut_free fish_free shellfish_free kosher ",0,1,1,0,1,0,0,1,1,1,1,1,270,10,31.88760046532998000000,108.67360077860998000000,214.37719568264438000000
61,"chilled tomato soup",1295.7952955220185000,25.8122572713151500,84.2975596261391500,127.5226141633397100,0.10862262005269620000,0.35473928895072880000,0.53663809099657500000,"vegan vegetarian gluten_free sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,1,1,1,1,1,1,1,1,1,150,7,6.45306431782878800000,21.07438990653478700000,31.88065354083492800000
62,enchiladas,9677.6256993602840000,352.0173105223309000,304.8736441540452000,1517.7847367099696000,0.16187117551211580000,0.14019269418498428000,0.69793613030290000000,"  gluten_free sugar_free pork_free alcohol_free  nut_free fish_free shellfish_free  ",0,0,1,1,1,1,0,1,1,1,0,0,25,29,44.00216381529136000000,38.10920551925565000000,189.72309208874620000000
64,guacamole,1056.5190004301148000,21.6905883513990150,67.5759516752530800,119.8763317573667300,0.10371182228863537000,0.32310903593711070000,0.57317914177425390000,"vegan vegetarian gluten_free sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,1,1,1,1,1,1,1,1,1,60,5,7.23019611713300500000,22.52531722508436000000,39.95877725245557600000
65,sweet%20omelet,383.2170514766645000,14.9402755329953540,19.0935578048559050,39.0300158558180000,0.20448245880658970000,0.26132701760955540000,0.53419052358385500000," vegetarian gluten_free  pork_free   nut_free fish_free shellfish_free kosher ",0,1,1,0,1,0,0,1,1,1,1,1,0,20,14.94027553299535400000,19.09355780485590500000,39.03001585581800000000
66,marshmallow%20squares,2291.4225049698000000,27.6543301865700000,85.3133904490699800,377.4981751400700000,0.05638379839404028000,0.17394357321040685000,0.76967262839555280000,"  gluten_free  pork_free alcohol_free dairy_free  fish_free shellfish_free kosher ",0,0,1,0,1,1,1,0,1,1,1,0,0,11,1.15226375777375000000,3.55472460204458300000,15.72909063083624800000
67,egg%20nog,3451.8330152241390000,80.2877342163238700,147.3488178499074200,199.3066501873618400,0.18805249455321005000,0.34512510580361950000,0.46682239964317057000," vegetarian gluten_free  pork_free   nut_free fish_free shellfish_free kosher ",0,1,1,0,1,0,0,1,1,1,1,1,0,9,40.14386710816193500000,73.67440892495371000000,99.65332509368092000000
68,atolillo,1810.0757557806280000,36.4841777633133260,61.9186029384678900,311.0308817734613000,0.08910888651105828000,0.15122987827658643000,0.75966123521235540000," vegetarian gluten_free  pork_free   nut_free fish_free shellfish_free kosher ",0,1,1,0,1,0,0,1,1,1,1,1,0,11,9.12104444082833200000,15.47965073461697300000,77.75772044336533000000
69,ragu%20bolognese,6903.3866223034500000,713.4231105009982000,394.0590950219507000,56.7486501013007040,0.61278491894845680000,0.33847161249704210000,0.04874346855450126000,"  gluten_free sugar_free    nut_free  shellfish_free  ",0,0,1,1,0,0,0,1,0,1,0,0,180,37,356.71155525049910000000,197.02954751097536000000,28.37432505065035200000
70,vodka%20cream%20sauce,1455.1021250881795000,41.6551918060075100,49.0755083591265300,197.7420514531473500,0.14439905180759433000,0.17012181595600126000,0.68547913223640440000," vegetarian gluten_free sugar_free pork_free   nut_free fish_free shellfish_free kosher ",0,1,1,1,1,0,0,1,1,1,1,1,0,20,13.88506393533583600000,16.35850278637551000000,65.91401715104912000000
72,shrimp%20fra%20diavolo,3840.0099954034650000,154.4530928554499400,97.1762666493141300,594.9865062392851000,0.18243585917174926000,0.11478200513512780000,0.70278213569312290000,"   sugar_free pork_free  dairy_free nut_free fish_free  kosher ",0,0,0,1,1,0,1,1,1,0,1,1,25,24,38.61327321386248500000,24.29406666232853200000,148.74662655982127000000
79,rack%20of%20lamb,1530.4060000000000000,53.0042100000000000,108.5541700000000000,94.5018750000000000,0.20699897373764625000,0.42393994335434840000,0.36906108290800540000,"  gluten_free sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",0,0,1,1,1,1,1,1,1,1,1,0,25,5,26.50210500000000000000,54.27708500000000000000,47.25093750000000000000
80,potato%20leek%20soup,915.3312500546696000,34.2157541667819340,64.5402708394657000,49.5505500000789140,0.23070962406975100000,0.43518145326134394000,0.33410892266890496000,"  gluten_free sugar_free pork_free alcohol_free  nut_free fish_free shellfish_free  ",0,0,1,1,1,1,0,1,1,1,0,0,0,43,5.70262569446365600000,10.75671180657761800000,8.25842500001315300000
81,potatoes%20au%20gratin,2136.3076237957150000,103.0064869447129500,126.7589853593108600,175.4703149843132600,0.25418901828485560000,0.31280303797334200000,0.43300794374180240000," vegetarian gluten_free sugar_free pork_free alcohol_free  nut_free fish_free shellfish_free kosher ",0,1,1,1,1,1,0,1,1,1,1,1,180,21,17.16774782411882300000,21.12649755988514000000,29.24505249738554400000
82,mexican%20chocolate%20ice%20cream,4905.7551812243070000,78.6779406978787400,195.8475411677987400,790.1149834994617000,0.07390094896580379000,0.18395650695150784000,0.74214254408268840000," vegetarian gluten_free  pork_free    fish_free shellfish_free kosher ",0,1,1,0,1,0,0,0,1,1,1,1,270,12,52.45196046525249000000,130.56502744519915000000,526.74332233297450000000
84,polenta,2006.2451224284798000,73.3138810154799900,93.0522435860000000,230.6730574788768000,0.18465150122297500000,0.23436539209666000000,0.58098310668036500000,"  gluten_free sugar_free pork_free alcohol_free  nut_free fish_free shellfish_free  ",0,0,1,1,1,1,0,1,1,1,0,0,40,14,18.32847025386999800000,23.26306089650000000000,57.66826436971920000000
85,tuscan%20beef%20stew,5429.1915354612970000,461.1380428903216000,294.7658963845794000,100.2494034784030800,0.53861617990925260000,0.34429100683837960000,0.11709281325236781000,"  gluten_free sugar_free pork_free  dairy_free nut_free fish_free shellfish_free kosher ",0,0,1,1,1,0,1,1,1,1,1,0,210,26,76.85634048172027000000,49.12764939742990000000,16.70823391306718000000
90,french%20onion%20soup,4096.4046303801470000,202.5325103906159800,263.9590104139698500,175.7696062624968600,0.31534293740536773000,0.41098394296312430000,0.27367311963150800000,"    pork_free   nut_free  shellfish_free  ",0,0,0,0,1,0,0,1,0,1,0,0,145,27,33.75541839843600000000,43.99316840232831000000,29.29493437708281000000
91,cherry%20sorbet,1406.0768750000000000,12.8178812500000010,3.7392375000000000,353.6086562500000000,0.03462740781478244000,0.01010152140618618800,0.95527107077903130000,"vegan vegetarian gluten_free  pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,1,1,1,1,1,1,1,0,5,3.20447031250000030000,0.93480937500000000000,88.40216406250000000000
92,pasta%20dough,1859.8300160036710000,63.0833107874544800,44.3221513149504000,292.1127901913422400,0.15789844500288880000,0.11093898979704785000,0.73116256520006330000," vegetarian  sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",0,1,0,1,1,1,1,1,1,1,1,1,30,15,63.08331078745448000000,44.32215131495040000000,292.11279019134224000000
93,green%20apple%20sorbet,1244.2299458848302000,5.2593875558225545,2.3909356171298610,309.7322093374320400,0.01657113110234090200,0.00753329302094352550,0.97589557587671550000,"vegan vegetarian gluten_free  pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,1,1,1,1,1,1,1,50,5,1.31484688895563860000,0.59773390428246520000,77.43305233435801000000
94,milk%20sorbet,2231.9081422996520000,38.4904660943746500,89.9114999999999900,344.7881122549056000,0.08134250453570017000,0.19001138044494830000,0.72864611501935150000," vegetarian gluten_free  pork_free alcohol_free  nut_free fish_free shellfish_free kosher ",0,1,1,0,1,1,0,1,1,1,1,1,30,10,9.62261652359366300000,22.47787499999999700000,86.19702806372640000000
95,mayonnaise,3019.1945842138420000,11.1675979904239100,335.4676313062014000,1.1355656439917414,0.03211194888383544000,0.96462278082748010000,0.00326527028868436960," vegetarian gluten_free sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",0,1,1,1,1,1,1,1,1,1,1,1,0,5,5.58379899521195500000,167.73381565310070000000,0.56778282199587070000
97,roasted%20banana%20sorbet,1421.4987429049968000,10.3029436631976750,3.1243499738726910,365.8426606806399000,0.02716519868211604600,0.00823779985286010200,0.96459700146502380000,"vegan vegetarian gluten_free  pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,1,1,1,1,1,1,1,65,4,2.57573591579941900000,0.78108749346817270000,91.46066517015997000000
98,smoked%20creme%20fraiche,423.0100000000000000,16.2067500000000030,32.5032000000000000,18.2045000000000030,0.24220104925019930000,0.48574261613149317000,0.27205633461830736000," vegetarian gluten_free sugar_free pork_free alcohol_free  nut_free fish_free shellfish_free kosher ",0,1,1,1,1,1,0,1,1,1,1,1,130,16,16.20675000000000300000,32.50320000000000000000,18.20450000000000300000
99,chicken%20stock,146.3890000000000000,5.5278899999999990,1.3189700000000000,33.8336500000000060,0.13588546456275988000,0.03242265153509628400,0.83169188390214390000,"  gluten_free sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",0,0,1,1,1,1,1,1,1,1,1,0,180,35,5.52788999999999900000,1.31897000000000000000,33.83365000000000600000
100,aged%20egg%20nog,4732.0820216170780000,69.8278677174877300,213.1008351102228700,259.4857002712156500,0.12873527568321677000,0.39287458794002060000,0.47839013637676270000," vegetarian gluten_free  pork_free   nut_free fish_free shellfish_free kosher ",0,1,1,0,1,0,0,1,1,1,1,1,20160,15,34.91393385874387000000,106.55041755511144000000,129.74285013560782000000
102,carrot%20ginger%20soup,1327.3296254805623000,37.7297474999999950,36.5221425000000000,237.7214572074848300,0.12093900917409776000,0.11706814965738126000,0.76199284116852100000," vegetarian gluten_free  pork_free alcohol_free  nut_free fish_free shellfish_free kosher ",0,1,1,0,1,1,0,1,1,1,1,1,25,12,9.43243687499999900000,9.13053562500000000000,59.43036430187121000000
103,cauliflower%20with%20cheese%20sauce,1354.7378762280940000,63.1554804724104100,86.6435247489142000,94.1253356755491200,0.25891422004133350000,0.35520655474701200000,0.38587922521165450000," vegetarian  sugar_free pork_free alcohol_free  nut_free fish_free shellfish_free kosher ",0,1,0,1,1,1,0,1,1,1,1,1,40,16,15.78887011810260300000,21.66088118722855000000,23.53133391888728000000
104,chicken%20adobo,6600.3505190924430000,384.0946532325066000,397.3709741166803000,393.9931514787831000,0.32676148253831650000,0.33805606906342744000,0.33518244839825600000,"   sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",0,0,0,1,1,1,1,1,1,1,1,0,65,20,96.02366330812664000000,99.34274352917008000000,98.49828786969577000000
105,chocolate%20ice%20cream,2905.0091823486400000,56.0255007626362300,168.6999512130862200,319.5582603735349500,0.10293436950522900000,0.30994855694824540000,0.58711707354652560000," vegetarian gluten_free  pork_free    fish_free shellfish_free kosher ",0,1,1,0,1,0,0,0,1,1,1,1,240,10,37.35033384175748000000,112.46663414205749000000,213.03884024902330000000
106,chocolate%20tart,5835.4536912641890000,82.6527233196612500,332.5306807408076700,674.8663674156616000,0.07582472423046707000,0.30506008940353170000,0.61911518636600130000," vegetarian   pork_free alcohol_free   fish_free shellfish_free kosher ",0,1,0,0,1,1,0,0,1,1,1,1,300,25,6.88772694330510400000,27.71089006173397400000,56.23886395130513000000
107,citrus%20salad,1464.5503901328457000,14.8850604424743040,85.5990453110791000,178.1943070845189300,0.05341303723845792000,0.30716066034442690000,0.63942630241711530000," vegetarian gluten_free  pork_free alcohol_free   fish_free shellfish_free kosher ",0,1,1,0,1,1,0,0,1,1,1,1,15,20,3.72126511061857600000,21.39976132776977400000,44.54857677112973000000
108,clafoutis,2116.3872210235940000,44.9895000180423350,78.8726840442805200,316.5283345066919000,0.10215819396891014000,0.17909714382717840000,0.71874466220391140000," vegetarian   pork_free   nut_free fish_free shellfish_free kosher ",0,1,0,0,1,0,0,1,1,1,1,1,40,9,7.49825000300705600000,13.14544734071342000000,52.75472241778198400000
109,corn%20tortillas,900.1303223084055000,19.1534396886720000,17.4374934682457620,173.3997571814880000,0.09121089919655821000,0.08303936446013278000,0.82574973634330900000,"vegan vegetarian gluten_free sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,1,1,1,1,1,1,1,1,1,7,20,2.39417996108400000000,2.17968668353072030000,21.67496964768600000000
110,cranberry%20sauce,1296.4730022999786000,3.7416716901709690,0.7999511167227977,347.3000957849143300,0.01063453107592365500,0.00227361075862316140,0.98709185816545320000,"vegan vegetarian gluten_free  pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,1,1,1,1,1,1,1,265,6,1.87083584508548450000,0.39997555836139886000,173.65004789245717000000
111,peach%20upside%20down%20cake,1231.3053204937898000,14.3998062387547420,40.0218437469387400,210.7573126551388000,0.05430221950999312000,0.15092390191278382000,0.79477387857722290000," vegetarian   pork_free   nut_free fish_free shellfish_free kosher ",0,1,0,0,1,0,0,1,1,1,1,1,20,7,7.19990311937737100000,20.01092187346937000000,105.37865632756940000000
112,beet%20puree,1668.3600058412800000,55.2177426295168000,73.1252723013456000,222.0463319436528000,0.15758967309383382000,0.20869719057849645000,0.63371313632766970000," vegetarian gluten_free  pork_free alcohol_free   fish_free shellfish_free kosher ",0,1,1,0,1,1,0,0,1,1,1,1,60,8,18.40591420983893300000,24.37509076711520000000,74.01544398121760000000
113,raspberry%20shrub,3741.9620000000000000,4.5236000000000000,2.3985000000000000,950.1227799999999000,0.00472663309164769800,0.00250615206258665740,0.99276721484576570000,"vegan vegetarian gluten_free  pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,1,1,1,1,1,1,1,4335,5,2.26180000000000000000,1.19925000000000000000,475.06138999999996000000
114,glazed%20carrots%20with%20relish,808.8959422528744000,8.7379883200645450,40.3742702481746700,114.1810419196843900,0.05351100317009494000,0.24725001042624253000,0.69923898640366260000," vegetarian gluten_free  pork_free alcohol_free  nut_free fish_free shellfish_free kosher ",0,1,1,0,1,1,0,1,1,1,1,1,70,11,2.18449708001613630000,10.09356756204366700000,28.54526047992109700000
115,macarons,1671.8760682988770000,21.3152225561667600,37.8333335254636900,323.0270597809901000,0.05577337138073423000,0.09899462957642888000,0.84523199904283700000," vegetarian gluten_free  pork_free alcohol_free dairy_free  fish_free shellfish_free kosher ",0,1,1,0,1,1,1,0,1,1,1,1,140,33,0.53288056390416890000,0.94583333813659230000,8.07567649452475300000
116,bittersweet%20chocolate%20ganache,2051.0414856729600000,14.9386948719488000,160.1438441792127800,141.9309283948991800,0.04712321843074565600,0.50516416690234440000,0.44771261466690987000," vegetarian gluten_free  pork_free alcohol_free  nut_free fish_free shellfish_free kosher ",0,1,1,0,1,1,0,1,1,1,1,1,10,2,7.46934743597440000000,80.07192208960639000000,70.96546419744959000000
117,barbecue%20sauce,2136.7446668397192000,34.2453833379721640,38.5427083355236000,443.5909033703303500,0.06631831206663566000,0.07464034886285877000,0.85904133907050560000,"    pork_free alcohol_free dairy_free nut_free  shellfish_free kosher ",0,0,0,0,1,1,1,1,0,1,1,1,5,5,11.41512777932405400000,12.84756944517453400000,147.86363445677680000000
119,ketchup,1237.9453335549383000,24.1107558432204280,30.0071812641737240,238.7457250231797000,0.08232757750762058000,0.10246126489668411000,0.81521115759569530000,"vegan vegetarian gluten_free  pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,0,1,1,1,1,1,1,1,1,60,18,8.03691861440681000000,10.00239375472457400000,79.58190834105990000000
121,meat%20sauce%20for%20spaghetti,5026.0950600020105000,230.8605962243220200,218.6429910139060000,632.8026350517687000,0.21330432318485230000,0.20201583111228025000,0.58467984570286760000,"  gluten_free     nut_free  shellfish_free  ",0,0,1,0,0,0,0,1,0,1,0,0,370,29,28.85757452804025300000,27.33037387673825000000,79.10032938147108000000
122,chocolate%20chip%20cookies,5936.4648933487400000,68.5705892910254400,305.1171236941294000,735.9532177418228000,0.06179529557016398600,0.27496924026967260000,0.66323546416016340000," vegetarian   pork_free   nut_free fish_free shellfish_free kosher ",0,1,0,0,1,0,0,1,1,1,1,1,82,7,2.85710788712606020000,12.71321348725539300000,30.66471740590928300000
123,clementine%20almond%20cake,5655.0052557543750000,115.2522478051637600,362.3368262648789400,533.3859217877548000,0.11400108635463721000,0.35840335097253460000,0.52759556267282810000," vegetarian   pork_free alcohol_free   fish_free shellfish_free kosher ",0,1,0,0,1,1,0,0,1,1,1,1,65,11,11.52522478051637700000,36.23368262648789000000,53.33859217877548000000
124,fish%20chowder,4464.8367587288230000,307.2708157283200300,213.0760732311999600,347.2019375136000000,0.35418273456432420000,0.24560700992176590000,0.40021025551390990000,"   sugar_free  alcohol_free  nut_free  shellfish_free  ",0,0,0,1,0,1,0,1,0,1,0,0,28,11,51.21180262138667400000,35.51267887186666000000,57.86698958560000000000
125,fish%20stock,2129.8043684730330000,195.5405106808635200,82.9326834124374600,112.8351998828816800,0.49970947133008664000,0.21193688837016160000,0.28835364029975163000,"  gluten_free sugar_free pork_free  dairy_free nut_free  shellfish_free kosher ",0,0,1,1,1,0,1,1,0,1,1,1,80,19,195.54051068086352000000,82.93268341243746000000,112.83519988288168000000
126,focaccia,2043.2440004842877000,45.9853900602603000,58.7398400113397900,326.7007500614226000,0.10658929266633758000,0.13615276482243463000,0.75725794251122780000,"vegan vegetarian  sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,0,1,1,1,1,1,1,1,1,1,650,25,22.99269503013015000000,29.36992000566989300000,163.35037503071130000000
127,french%20potato%20casserole,1475.8457595341606000,40.7792176599712100,43.8964668564610800,235.2243687820587000,0.12747486985230700000,0.13721931710809174000,0.73530581303960120000,"  gluten_free sugar_free  alcohol_free  nut_free fish_free shellfish_free  ",0,0,1,1,0,1,0,1,1,1,0,0,125,14,6.79653627666186800000,7.31607780941018100000,39.20406146367644600000
128,garam%20masala,15052.4100003650780000,273.4324266707277000,683.8213133585828000,3224.5813000342755000,0.06538575148257643000,0.16352182876830670000,0.77109241974911680000,"vegan vegetarian gluten_free sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",1,1,1,1,1,1,1,1,1,1,1,1,0,15,546.86485334145540000000,1367.64262671716550000000,6449.16260006855100000000
130,giblet%20stock,1454.4574990508002000,203.8627798212479800,55.9076799789999940,31.2529999987400020,0.70050290777952230000,0.19210712434528762000,0.10738996787519012000,"  gluten_free sugar_free pork_free alcohol_free dairy_free nut_free fish_free shellfish_free kosher ",0,0,1,1,1,1,1,1,1,1,1,0,90,17,67.95425994041600000000,18.63589332633333000000,10.41766666624666700000
